Name,Twitter,Discord,Website,Description
Aiternate ,https://www.aiternate.com/,https://discord.gg/aiternate,https://www.aiternate.com,Aiternate is a web-based metaverse platform based in a spaceship.
Angrymals,https://www.twitter.com/angrymals,https://www.discord.gg/angrymals,https://angrymals.io/,"4,444 crazy Angrymals stuck in the blockchain and controlled by Chaos Orb tokens. Play today in the Google Play and App Store."
Anima Shells,https://twitter.com/AnimaShells,https://discord.gg/animashells,https://animashells.com/,Anima Shells is a F2P multiplayer action RPG game on the Solana blockchain.
Aurory,https://twitter.com/AuroryProject,https://discord.com/invite/aurory,https://aurory.io/,"Aurory is a play-to-earn desktop game where players are invited to explore a rich and diverse universe where the villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians."
BR1,https://twitter.com/BR1Metaverse,https://discord.gg/BR1Metaverse,https://www.br1game.com,The worlds first risk-based tactical shooter built on Solana. Earn Sol for every player eliminated.
Battle Drones,https://www.twitter.com/BattleDronesNFT,https://www.discord.gg/s82b8gZF5v,https://battledrones.io/,Battle Drones is a revolutionary play-to-earn PC game built on the Solana Blockchain.
Battletabs,https://twitter.com/battletabs,https://discord.com/invite/kvJKXsu,https://battletabs.com/,A bite-sized multiplayer strategy game of wits and luck.
Big Shot Foxes,https://twitter.com/BigShotFoxes,https://discord.com/invite/bigshotfoxes,https://bigshotfoxes.com/,"Big Shot Foxes is a 2386 NFT collection building a mini-game hub. Rev share, stake, breed, and earn $BigCandy via staking and on-chain games."
BitBrawl,https://twitter.com/bitbrawlio?s=11,https://discord.com/invite/bitbrawl,http://bitbrawl.io/,"Brawl with 10,000 brawlers from 4 regions or with your favorite NFT projects to become victorious.v"
Boss Fighters,https://twitter.com/BossFightersVR,https://discord.com/invite/bossfighters,https://bossfighters.game/,Revolutionary Gaming Show. World’s First VR / PC multiplayer action game with digital assets. 
Botborgs,https://twitter.com/Botborgs,"https://discord.com/invite/botborgs	",https://twitter.com/Botborgs,"The Borgverse is a P2E open world Metaverse built on a multi-planetary system in the galaxy. 
"
Braincase,"https://twitter.com/G0D_0F_NFT	","https://discord.com/invite/4RGedc3bvr	",https://www.zunima.ru/braincase-nfts-999,Play to Earn multiplayer game featuring 999 Braincases on Solana.
Bulltiverse,"https://twitter.com/bulltiverse	","https://discord.gg/bulltiverse	","https://bulltiverse.com/	","A universe for your bulls to play and earn! Stake them for items, breed them, or play the game."
CatchKing,https://twitter.com/catch_king,https://discord.gg/Dde5e8fEzt,https://www.catchking.io/,"CatchKing is an in-development top-down, roguelike, collect-a-thon RPG featuring crisp pixel graphics that has inspired our new line of NFTs. "
Caveworld,https://twitter.com/TheCavemenClub,https://discord.gg/day2aP3P8k,https://cryptocavemen.io/,The Crypto Cavemen Club is an exclusive NFT community comprised of the world's most prehistoric generation of humans.
ChainMyth,https://twitter.com/ChainMyth,http://discord.gg/chainmyth,https://chainmyth.io,Chain Myth is a 5v5 first-person hero shooter game with MOBA mechanics and a play-to-earn model.
Cheddar Block Games,https://twitter.com/Cheddar_Block,https://discord.com/invite/cheddarblockgames,https://www.cheddarblock.games/,"A competitive social gaming platform helping web2 gamers adopt web3 games through seamless tech integration and NFTs as Esports Teams, coming soon to android and IOS."
Cheems Arena,https://twitter.com/CheemsArena,https://discord.gg/5Bmb8hxW,https://cheemsarena.com,Cheems Arena is a new P2E game based on the Solana blockchain. Powered by $CHEEMS.
Chillchat,https://twitter.com/chillchatme,https://t.co/MhHJOLjCgW,https://www.chillchat.me/,"Chillchat is a pixel art NFT metaverse, a vast collection of virtual worlds, made entirely by its players, where you can jump into adventure with a new identity created by you or another player, pixel by pixel."
Cinder,https://twitter.com/CinderNFT,https://discord.com/invite/cinder,https://cinder.io/,Step into a crypto-native dreamworld where creativity rules.
CryptoPets,https://twitter.com/CryptopetsAR,https://discord.gg/cryptopets,https://cryptopets.tech,"CryptoDash is a Play-to-Earn game inspired by Squid Game's red light-green light challenge, with betting lobbies."
CyberWave,https://twitter.com/CyberWaveNFT,https://discord.gg/cyberwave,https://cyber-wave.io,CyberWave is an on-chain strategy game based on Solana. Stop the zombie waves and earn $CYBER.
Danerob,https://twitter.com/danerobnft,https://discord.com/invite/NVuBgpfudR,https://danerob.com/,A collection of uniquely generated robotic great danes on the Solana blockchain that allows access into the Danerob Metaverse.
DarleyGo,"https://twitter.com/DarleyGo_io	","https://discord.gg/darleygo	","https://www.darleygo.io/	",The world’s first myth-based NFT horseracing game based on Solana.
DeFi Land,https://twitter.com/DeFi_Land,https://discord.com/invite/defiland,https://linktr.ee/defiland,DeFi Land is a multi-chain agriculture-simulation game created to gamify Decentralized Finance.
Dragons Watch Heroes,https://twitter.com/DragonsWatchNFT,https://discord.gg/Jd9WNQWPYs,https://dragonswatch.io/,Play 2 Earn trading card game on the Solana blockchain.
Drippies,https://www.twitter.com/drippieverse,https://www.discord.gg/drippieverse,https://www.drippies.space/,"Drippies™ is a collection of 5555 vibey creatures that combine beautiful art with a passion for community, fashion, culture, utility & education."
EFAS,https://twitter.com/PlayEFAS,https://discord.com/invite/kDVG6qh,https://www.earthfromanothersun.com/,"Earth From Another Sun is an expansive blockchain-powered sci-fi franchise. It entails a galactic sandbox featuring an ever-expanding multiplayer galaxy with many unique locations to explore, NPCs to meet, quests, and loot to discover."
Elementies,https://twitter.com/ElementiesNFT,https://discord.gg/elementies,https://elementies.art,"Elementies is a Pokémon-inspired, play-to-earn game universe that uses the Solana blockchain."
